FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
41_937	41_937	-0.1656718	0.1410633	0.0439154	-0.04699541	0.02108958	0.003366874	7.899271e-05	-0.0247914	-0.0111173	-0.005994069
42_42_Leiden	42_42_Leiden	-0.1513689	0.1263209	0.04371676	-0.03957149	0.02064686	0.0009825935	0.001369303	-0.02848098	-0.007804672	-0.005802953
42_553	42_553	-0.1673065	0.1399927	0.04676597	-0.04083888	0.02266661	0.00500248	0.001222914	-0.026373	-0.01104672	-0.008875749
43_43_Leiden	43_43_Leiden	-0.1499844	0.1232484	0.0402817	-0.04465435	0.02296064	0.001854044	-0.0006468831	-0.02391512	-0.008083618	-0.001278105
43_745	43_745	-0.163698	0.136182	0.04625223	-0.04563545	0.0238775	0.002802899	-0.0001079599	-0.02973381	-0.01009814	-0.00495167
44_44_Leiden	44_44_Leiden	-0.1473683	0.1177911	0.03959445	-0.0436383	0.01814672	0.00474865	-0.00137853	-0.02355874	-0.009166208	-0.007879964
44_841	44_841	-0.1634575	0.1374622	0.04396799	-0.04376304	0.02486869	0.003183316	0.001111903	-0.02627893	-0.007603423	-0.004862309
45_45_Leiden	45_45_Leiden	-0.1536034	0.1225409	0.04401912	-0.0450448	0.02978251	0.007141039	0.0004289918	-0.02778125	-0.01190798	-0.005153052
45_457	45_457	-0.1690551	0.1411767	0.04730412	-0.04230353	0.0258696	0.002567303	-0.001565186	-0.02484903	-0.01017613	-0.005511467
46_46_Leiden	46_46_Leiden	-0.1421054	0.1190299	0.03923355	-0.04003085	0.01645113	0.002311337	2.244474e-06	-0.02442954	-0.008558385	-0.003673242
46_649	46_649	-0.1656338	0.1426669	0.04451078	-0.04560144	0.01881196	0.002633238	-0.001179106	-0.02527504	-0.01069553	-0.003215694
47_47_Leiden	47_47_Leiden	-0.1512205	0.118247	0.04158138	-0.04052055	0.01791953	0.0008709835	0.001156229	-0.02400361	-0.008990309	-0.004097148
47_361	47_361	-0.1660457	0.1453109	0.04042508	-0.04305248	0.02457023	0.00294904	0.0004705644	-0.02900989	-0.01236896	-0.008163849
48_48_Leiden	48_48_Leiden	-0.1515435	0.1239286	0.03745141	-0.03792323	0.01999965	0.001272106	-0.000647666	-0.02578639	-0.009393525	-0.01047065
48_73	48_73	-0.1653249	0.140236	0.04526666	-0.04847258	0.02046019	0.004979809	-0.0002973417	-0.02671506	-0.01446463	-0.002940265
49_49_Leiden	49_49_Leiden	-0.1464016	0.1176146	0.03874519	-0.04221831	0.02106658	0.001528634	-0.00040624	-0.02474756	-0.00904704	-0.005751061
49_169	49_169	-0.1661003	0.1407034	0.0446961	-0.0434998	0.02304192	0.008733272	0.0004904704	-0.02802225	-0.007846103	-0.005878434
50_50_Leiden	50_50_Leiden	-0.1469892	0.1189157	0.0432898	-0.03755012	0.02270447	0.002568484	-9.901213e-06	-0.02537382	-0.009644836	-0.005688313
50_265	50_265	-0.164099	0.1357396	0.04390297	-0.04266859	0.02010339	0.001855653	-0.0006989691	-0.02717401	-0.01137118	-0.007798396
51_51_Leiden	51_51_Leiden	-0.1493604	0.1247675	0.04354035	-0.04326513	0.01649725	0.004214381	0.001064947	-0.02301706	-0.01071748	-0.007251062
51_215294060	51_215294060	-0.1689067	0.1446747	0.04291209	-0.04240834	0.01333452	0.002774522	0.001291256	-0.03609545	-0.0136027	-0.005661622
52_52_Leiden	52_52_Leiden	-0.146249	0.1175996	0.04015079	-0.03761555	0.02596818	0.00329297	4.989925e-05	-0.01731559	-0.009348542	-0.002324899
