FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
58_215292190	58_215292190	0.02863229	0.2319664	0.005221001	-0.02935512	-0.01053613	-0.01266511	0.01926679	0.03177823	-0.008948247	-0.008634193
59_59_Leiden	59_59_Leiden	0.02623514	0.2324759	0.007310856	-0.02537549	-0.01635715	-0.0130349	0.02134265	0.03506742	-0.007820419	-0.01026642
59_1150148419	59_1150148419	0.02560503	0.2341904	0.008489798	-0.02557533	-0.006912774	-0.0118349	0.01890377	0.03854847	-0.005823718	-0.005630933
60_60_Leiden	60_60_Leiden	0.02546266	0.2333765	0.003335254	-0.02779107	-0.01359375	-0.009029162	0.01808179	0.03383391	-0.004988673	-0.01062655
60_1071560419	60_1071560419	0.02474453	0.2245481	0.008739398	-0.02754343	-0.009040393	-0.009495608	0.02166013	0.03370429	-0.006693035	-0.005669489
61_61_Leiden	61_61_Leiden	0.02403086	0.2326158	0.004510867	-0.02510461	-0.00559478	-0.009297537	0.02333236	0.03598378	-0.01107091	-0.01086832
61_1137892999	61_1137892999	0.02594209	0.2236567	0.009647022	-0.02494906	-0.008361725	-0.01137809	0.02073803	0.02968602	-0.004050801	-0.01438514
62_62_Leiden	62_62_Leiden	0.0239731	0.2266892	0.01059237	-0.02566817	-0.01196114	-0.009700309	0.02129078	0.03238716	-0.002951212	-0.008687977
62_ARC842	62_ARC842	0.02476111	0.2277586	0.006870649	-0.02744617	-0.006313002	-0.0134166	0.01929294	0.03160332	-0.007078688	-0.009656522
63_63_Leiden	63_63_Leiden	0.02163245	0.2281883	0.004897352	-0.028356	-0.009787931	-0.01300435	0.02215746	0.03031926	-0.004531264	-0.01067604
63_EA3795	63_EA3795	0.02422725	0.235204	0.01093284	-0.02597876	-0.005656786	-0.01235214	0.01806626	0.03587366	-0.008278443	-0.004849064
64_64_Leiden	64_64_Leiden	0.0224984	0.2302299	0.008377342	-0.0298364	-0.01238713	-0.01113569	0.02586389	0.03314647	-0.005361849	-0.004917405
64_ARC584	64_ARC584	0.02716617	0.2311958	0.008295328	-0.02679998	-0.007578342	-0.01271768	0.02184962	0.03009923	-0.002986157	-0.009928002
65_65_Leiden	65_65_Leiden	0.02432893	0.2319801	0.005425967	-0.02457905	-0.01238727	-0.009090116	0.02309311	0.03594266	-0.007931268	-0.009552693
65_697	65_697	0.02107537	0.2301221	0.008331116	-0.02753106	-0.01468724	-0.006775723	0.02168229	0.03357764	-0.007827923	-0.0117868
